metric;timestamp;ts_join;type;rt1_value;rt2_value;rt3_value;rt4_value;rt5_value;rt6_value;rt7_value;rt8_value;rt9_value;rt10_value;Total
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479178;50315972;mean;0,051361;0,056365;0,130002;0,062451;0,060257;0,070229;0,067982;0,051841;0,063864;0,074328;0,068868
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479208;50315973;mean;0,052621;0,056074;0,131401;0,057994;0,071786;0,071213;0,069841;0,054823;0,060165;0,075329;0,0701247
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479238;50315974;mean;0,051672;0,054733;0,13161;0,057085;0,073762;0,078097;0,066746;0,053914;0,060078;0,076041;0,0703738
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479268;50315975;mean;0,053801;0,056267;0,142005;0,063104;0,071642;0,076675;0,075194;0,049787;0,0579;0,074186;0,0720561
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479298;50315976;mean;0,053158;0,054294;0,132097;0,061126;0,07091;0,078718;0,072596;0,050022;0,058775;0,076597;0,0708293
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479328;50315977;mean;0,056366;0,053071;0,14002;0,06579;0,068415;0,078106;0,070298;0,057243;0,060308;0,077331;0,0726948
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479358;50315978;mean;0,05761;0,059203;0,138938;0,06622;0,063542;0,073344;0,06831;0,051594;0,061972;0,07929;0,0720023
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479388;50315979;mean;0,054211;0,060115;0,132077;0,053676;0,063555;0,075017;0,063173;0,050386;0,059983;0,074837;0,068703
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479418;50315980;mean;0,053802;0,060687;0,133526;0,053695;0,06703;0,075875;0,070139;0,048479;0,064434;0,077765;0,0705432
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479448;50315981;mean;0,054815;0,058276;0,125515;0,058477;0,063245;0,078355;0,071492;0,04807;0,067648;0,079616;0,0705509
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479478;50315982;mean;0,056179;0,06159;0,13018;0,05997;0,061165;0,073694;0,078706;0,048707;0,066529;0,077489;0,0714209
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479508;50315983;mean;0,057837;0,059469;0,126422;0,060395;0,067821;0,076957;0,072712;0,049178;0,069967;0,072466;0,0713224
