"TIMESTAMP - 1508509592	value";
6513;134557021
6543;134557021
6573;134557021
6603;134557021
6633;134557021
6663;134557021
6693;134557021
6723;134557021
6753;143998288
6783;143998288
6813;143998288
6843;143998288
6873;143998288
6903;143998288
6933;143998288
6963;143998288
6993;143998288
7023;143998288
7053;143998288
7083;143998288
7113;143998288
7143;143998288
7173;143998288
7203;143998288
7233;153950558
7263;153950558
7293;153950558
7323;153950558
7353;153950558
7383;153950558
7413;153950558
7443;153950558
7473;153950558
7503;153950558
7533;153950558
7563;153950558
7593;153950558
7623;153950558
7653;153950558
7683;153950558
7713;164154294
7743;164154294
7773;164154294
7803;164154294
7833;164154294
7863;164154294
7893;164154294
7923;164154294
7953;164154294
7983;164154294
8013;164154294
8043;164154294
8073;164154294
8103;164154294
8133;164154294
8163;174487505
8193;174487505
8223;174487505
8253;174487505
8283;174487505
8313;174487505
8343;174487505
8373;174487505
8403;174487505
8433;174487505
8463;174487505
8493;174487505
8523;174487505
8553;174487505
8583;174487505
8613;184902426
8643;184902426
8673;184902426
8703;184902426
8733;184902426
8763;184902426
8793;184902426
8823;184902426
8853;184902426
8883;184902426
8913;184902426
8943;184902426
8973;184902426
9003;184902426
9033;184902426
9063;184902426
9093;184902426
9123;195381702
9153;195381702
9183;195381702
9213;195381702
9243;195381702
9273;195381702
9303;195381702
9333;195381702
9363;195381702
9393;195381702
9423;195381702
9453;195381702
9483;195381702
9513;195381702
9543;195381702
9573;195381702
9603;195381702
9633;205896763
9663;205896763
9693;205896763
9723;205896763
9753;205896763
9783;205896763
9813;205896763
9843;205896763
9873;205896763
9903;205896763
9933;205896763
9963;205896763
9993;205896763
10023;205896763
10053;205896763
10083;205896763
10113;205896763
10143;216435629
10173;216435629
10203;216435629
10233;216435629
10263;216435629
10293;216435629
10323;216435629
10353;216435629
10383;216435629
10413;216435629
10443;216435629
10473;216435629
10503;216435629
10533;216435629
10563;216435629
10593;216435629
10623;226997194
10653;226997194
10683;226997194
10713;226997194
10743;226997194
10773;226997194
10803;226997194
10833;226997194
10863;226997194
10893;226997194
10923;226997194
10953;226997194
10983;226997194
11013;226997194
11043;226997194
11073;226997194
11103;237571721
11133;237571721
11163;237571721
11193;237571721
11223;237571721
11253;237571721
11283;237571721
11313;237571721
11343;237571721
11373;237571721
11403;237571721
11433;237571721
11463;237571721
11493;237571721
11523;237571721
11553;248157184
11583;248157184
11613;248157184
11643;248157184
11673;248157184
11703;248157184
11733;248157184
11763;248157184
11793;248157184
11823;248157184
11853;248157184
11883;248157184
11913;248157184
11943;248157184
11973;248157184
12003;258748849
12033;258748849
12063;258748849
12093;258748849
12123;258748849
12153;258748849
12183;258748849
12213;258748849
12243;258748849
12273;258748849
12303;258748849
12333;258748849
12363;258748849
12393;258748849
12423;258748849
12453;269344814
12483;269344814
12513;269344814
12543;269344814
12573;269344814
12603;269344814
12633;269344814
12663;269344814
12693;269344814
12723;269344814
12753;269344814
12783;269344814
12813;269344814
12843;269344814
12873;269344814
12903;269344814
12933;269344814
12963;279944004
12993;279944004
13023;279944004
13053;279944004
13083;279944004
13113;279944004
13143;279944004
13173;279944004
13203;279944004
13233;279944004
13263;279944004
13293;279944004
13323;279944004
13353;279944004
13383;279944004
13413;279944004
13443;279944004
13473;289404724
13503;289404724
13533;289404724
13563;289404724
13593;289404724
13623;289404724
13653;289404724
13683;289404724
13713;289404724
13743;289404724
13773;289404724
13803;289404724
13833;289404724
13863;289404724
13893;289404724
13923;289404724
13953;299388634
13983;299388634
14013;299388634
14043;299388634
14073;299388634
14103;299388634
14133;299388634
14163;299388634
14193;299388634
14223;299388634
14253;299388634
14283;299388634
14313;299388634
14343;299388634
14373;299388634
14403;299388634
14433;309629437
14463;309629437
14493;309629437
14523;309629437
14553;309629437
14583;309629437
14613;309629437
14643;309629437
14673;309629437
14703;309629437
14733;309629437
14763;309629437
14793;309629437
14823;309629437
14853;309629437
14883;309629437
14913;319982577
14943;319982577
14973;319982577
15003;319982577
15033;319982577
15063;319982577
15093;319982577
15123;319982577
15153;319982577
15183;319982577
15213;319982577
15243;319982577
15273;319982577
15303;319982577
15333;319982577
15363;330414295
15393;330414295
15423;330414295
15453;330414295
15483;330414295
15513;330414295
15543;330414295
15573;330414295
15603;330414295
15633;330414295
15663;330414295
15693;330414295
15723;330414295
15753;330414295
15783;330414295
15813;340894853
15843;340894853
15873;340894853
15903;340894853
15933;340894853
15963;340894853
15993;340894853
16023;340894853
16053;340894853
16083;340894853
16113;340894853
16143;340894853
16173;340894853
16203;340894853
16233;340894853
16263;340894853
16293;351415496
16323;351415496
16353;351415496
16383;351415496
16413;351415496
16443;351415496
16473;351415496
16503;351415496
16533;351415496
16563;351415496
16593;351415496
16623;351415496
16653;351415496
16683;351415496
16713;351415496
16743;351415496
16773;351415496
16803;351415496
16833;361957184
16863;361957184
16893;361957184
16923;361957184
16953;361957184
16983;361957184
17013;361957184
17043;361957184
17073;361957184
17103;361957184
17133;361957184
17163;361957184
17193;361957184
17223;361957184
17253;361957184
17283;361957184
17313;372516227
17343;372516227
17373;372516227
17403;372516227
17433;372516227
17463;372516227
17493;372516227
17523;372516227
17553;372516227
17583;372516227
17613;372516227
17643;372516227
17673;372516227
17703;372516227
17733;372516227
17763;372516227
17793;372516227
17823;383087250
17853;383087250
17883;383087250
17913;383087250
17943;383087250
17973;383087250
18003;383087250
18033;383087250
18063;383087250
18093;383087250
18123;383087250
18153;383087250
18183;383087250
18213;383087250
18243;383087250
18273;383087250
18303;393670160
18333;393670160
18363;393670160
18393;393670160
18423;393670160
18453;393670160
18483;393670160
18513;393670160
18543;393670160
18573;393670160
18603;393670160
18633;393670160
18663;393670160
18693;393670160
18723;393670160
18753;404255220
18783;404255220
18813;404255220
18843;404255220
18873;404255220
18903;404255220
18933;404255220
18963;404255220
18993;404255220
19023;404255220
19053;404255220
19083;404255220
19113;404255220
19143;404255220
19173;404255220
19203;414846761
19233;414846761
19263;414846761
19293;414846761
19323;414846761
19353;414846761
19383;414846761
19413;414846761
19443;414846761
19473;414846761
19503;425439377
19533;425439377
19563;425439377
19593;425439377
19623;425439377
19653;425439377
19683;425439377
19713;425439377
19743;425439377
19773;425439377
19803;425439377
19833;425439377
19863;425439377
19893;425439377
19923;425439377
19953;425439377
19983;434854318
20013;434854318
20043;434854318
20073;434854318
20103;434854318
20133;434854318
20163;434854318
20193;434854318
20223;434854318
20253;434854318
20283;434854318
20313;434854318
20343;434854318
20373;434854318
20403;434854318
20433;434854318
20463;434854318
20493;444803725
20523;444803725
20553;444803725
20583;444803725
20613;444803725
20643;444803725
20673;444803725
20703;444803725
20733;444803725
20763;444803725
20793;444803725
20823;444803725
20853;444803725
20883;444803725
20913;444803725
20943;444803725
20973;444803725
21003;455004939
21033;455004939
21063;455004939
21093;455004939
21123;455004939
21153;455004939
21183;455004939
21213;455004939
21243;455004939
21273;455004939
21303;455004939
21333;455004939
21363;455004939
21393;455004939
21423;455004939
21453;455004939
21483;465338150
21513;465338150
21543;465338150
21573;465338150
21603;465338150
21633;465338150
21663;465338150
21693;465338150
21723;465338150
21753;465338150
21783;465338150
21813;465338150
21843;465338150
21873;465338150
21903;465338150
21933;465338150
21963;475740998
21993;475740998
22023;475740998
22053;475740998
22083;475740998
22113;475740998
22143;475740998
22173;475740998
22203;475740998
22233;475740998
22263;475740998
22293;475740998
22323;475740998
22353;475740998
22383;475740998
22413;475740998
22443;486193058
22473;486193058
22503;486193058
22533;486193058
22563;486193058
22593;486193058
22623;486193058
22653;486193058
22683;486193058
22713;486193058
22743;486193058
22773;486193058
22803;486193058
22833;486193058
22863;486193058
22893;496688242
22923;496688242
22953;496688242
22983;496688242
23013;496688242
23043;496688242
23073;496688242
23103;496688242
23133;496688242
23163;496688242
23193;496688242
23223;496688242
23253;496688242
23283;496688242
23313;507216999
23343;507216999
23373;507216999
23403;507216999
23433;507216999
23463;507216999
23493;507216999
23523;507216999
23553;507216999
23583;507216999
23613;507216999
23643;507216999
23673;507216999
23703;507216999
23733;507216999
23763;507216999
23793;507216999
23823;507216999
23853;507216999
23883;517770760
23913;517770760
23943;517770760
23973;517770760
24003;517770760
24033;517770760
24063;517770760
24093;517770760
24123;517770760
24153;517770760
24183;517770760
24213;517770760
24243;517770760
24273;517770760
24303;517770760
24333;517770760
24363;528339881
24393;528339881
24423;528339881
24453;528339881
24483;528339881
24513;528339881
24543;528339881
24573;528339881
24603;528339881
24633;528339881
24663;528339881
24693;528339881
24723;528339881
24753;528339881
24783;528339881
24813;528339881
24843;528339881
24873;538917571
24903;538917571
24933;538917571
24963;538917571
24993;538917571
