metric;timestamp;rt1_value;rt2_value;rt3_value;rt4_value;rt5_value;rt6_value;rt7_value;rt8_value;rt9_value;rt10_value;min1
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511201901;3,443666;3,250673;3,435346;3,279684;3,522304;3,286171;3,536799;3,405184;3,343648;3,299457;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511201931;3,459768;3,263905;3,469089;3,272402;3,504939;3,338104;3,555424;3,415651;3,356205;3,317035;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511201961;3,443392;3,244433;3,472114;3,247382;3,512675;3,30612;3,577732;3,409531;3,309435;3,308656;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511201991;3,486601;3,288654;3,474253;3,278647;3,553409;3,310259;3,580539;3,412288;3,337712;3,318213;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202021;3,469425;3,308426;3,474967;3,264385;3,545122;3,29703;3,613923;3,410814;3,294806;3,324986;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202051;3,504244;3,325008;3,479478;3,274249;3,575579;3,297034;3,573945;3,471643;3,295003;3,362585;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202081;3,516972;3,366381;3,485761;3,293373;3,576193;3,352846;3,598646;3,471304;3,312543;3,35161;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202111;3,506459;3,369712;3,452332;3,281607;3,607563;3,406508;3,587896;3,483408;3,308902;3,348843;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202141;3,494032;3,387983;3,428808;3,275505;3,619268;3,429331;3,598265;3,511217;3,302844;3,36356;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202171;3,524849;3,423085;3,445306;3,265499;3,625272;3,474462;3,61689;3,527417;3,295924;3,380218;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202201;3,581301;3,437209;3,489603;3,33894;3,680002;3,480908;3,651512;3,533249;3,329063;3,383077;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202231;3,638679;3,465722;3,521605;3,40517;3,695338;3,517815;3,659735;3,609784;3,356138;3,450473;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202261;3,655427;3,447192;3,538481;3,399122;3,764039;3,559594;3,688035;3,636192;3,339786;3,44849;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202291;3,70509;3,445834;3,562474;3,440641;3,825308;3,549747;3,705033;3,664624;3,372456;3,476638;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202321;3,703837;3,466345;3,599491;3,439193;3,838755;3,548247;3,719932;3,668892;3,396026;3,516481;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202351;3,737607;3,537321;3,665286;3,46049;3,873819;3,569711;3,751352;3,729719;3,446049;3,514648;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202381;3,789029;3,581054;3,65379;3,497562;3,911676;3,58246;3,787887;3,746286;3,491441;3,532746;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202411;3,791265;3,603579;3,632471;3,482298;3,920106;3,590638;3,810492;3,721795;3,486385;3,547254;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202441;3,80545;3,644811;3,663082;3,502533;3,942745;3,610731;3,821971;3,729807;3,512908;3,572678;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202471;3,807626;3,634582;3,651133;3,54393;3,96453;3,607171;3,82903;3,716353;3,551798;3,553938;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202501;3,852964;3,607275;3,668108;3,502922;3,973986;3,629858;3,845327;3,688526;3,552295;3,549725;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202531;3,880413;3,612489;3,680356;3,525842;3,986394;3,653658;3,833006;3,7194;3,53664;3,555549;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202561;3,899457;3,59373;3,66899;3,511843;4,014491;3,638755;3,862492;3,739321;3,528672;3,585461;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202591;3,932225;3,610683;3,663424;3,53002;3,990266;3,614393;3,864603;3,717505;3,551905;3,596187;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202621;3,947245;3,664052;3,657989;3,577895;3,968781;3,583;3,871108;3,730781;3,558924;3,595184;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202651;3,958921;3,667826;3,64198;3,556739;3,959001;3,571541;3,88511;3,70376;3,513253;3,595561;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202681;4,010852;3,685557;3,65812;3,56825;3,977833;3,555068;3,858079;3,694776;3,546846;3,60457;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202711;4,03072;3,696729;3,649669;3,566754;3,951991;3,551226;3,897326;3,70949;3,52664;3,570371;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202741;4,039157;3,657594;3,658467;3,612479;3,938496;3,546056;3,847131;3,727204;3,525779;3,561654;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202771;4,056327;3,69177;3,641542;3,638146;3,971111;3,565165;3,822908;3,763739;3,558659;3,603207;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202801;4,024784;3,68533;3,637849;3,609228;3,944584;3,595683;3,867836;3,781294;3,513958;3,584277;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202831;4,008082;3,722538;3,658598;3,626738;3,900466;3,59504;3,877945;3,766481;3,507763;3,572417;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202861;4,00456;3,673399;3,619436;3,62691;3,896658;3,597522;3,871957;3,806762;3,511604;3,561061;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202891;4,034985;3,669701;3,604972;3,673113;3,916453;3,631071;3,873964;3,847957;3,508009;3,550034;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202921;4,040817;3,732576;3,626012;3,657288;3,929415;3,616661;3,907092;3,861186;3,517369;3,60577;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202951;4,065385;3,798766;3,651567;3,665181;3,961987;3,608397;3,902327;3,84149;3,548593;3,642481;
