t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1508095849,363679,43.388628,0.065501,0.017085,0.941954,0.042510,0.051012,0.061214,0.088148,0.152321,1.629722,172.896663,172.511227,173.172527,156.703636,calls/second,milliseconds
1508095879,368984,43.388628,0.062968,0.017085,0.869338,0.042510,0.051012,0.061214,0.088148,0.152321,1.358102,172.950954,174.100702,173.485715,157.350795,calls/second,milliseconds
1508095909,374169,43.388628,0.062845,0.017085,0.848108,0.042510,0.051012,0.061214,0.088148,0.182785,1.629722,172.950284,173.382923,173.359764,157.835740,calls/second,milliseconds
1508095939,379398,43.388628,0.062715,0.017085,0.847572,0.042510,0.051012,0.061214,0.088148,0.152321,1.629722,172.965836,173.315268,173.372618,158.350675,calls/second,milliseconds
1508095969,384673,43.388628,0.059334,0.017085,0.768084,0.042510,0.051012,0.061214,0.088148,0.152321,1.358102,173.007801,174.730056,173.687888,158.950617,calls/second,milliseconds
1508095999,389915,43.388628,0.061411,0.017085,0.821657,0.042510,0.051012,0.061214,0.088148,0.152321,1.358102,173.030259,175.122381,173.859321,159.491591,calls/second,milliseconds
1508096029,395128,43.388628,0.057097,0.017085,0.682404,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,173.040444,174.247182,173.768339,159.931213,calls/second,milliseconds
1508096059,400397,43.388628,0.065043,0.017085,0.915074,0.042510,0.051012,0.061214,0.088148,0.152321,1.629722,173.073745,175.359994,174.051929,160.480760,calls/second,milliseconds
1508096089,405598,43.388628,0.059735,0.017085,0.767729,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,173.077489,174.637840,173.971969,160.896416,calls/second,milliseconds
1508096119,410796,43.388628,0.057198,0.017085,0.710593,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,173.080088,174.219710,173.913154,161.303641,calls/second,milliseconds
1508096149,416027,43.388628,0.057769,0.017085,0.683146,0.042510,0.051012,0.073457,0.088148,0.182785,1.358102,173.095836,174.321293,173.989021,161.744400,calls/second,milliseconds
1508096179,421157,43.388628,0.058221,0.017085,0.714422,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,173.069945,173.067829,173.689469,162.041001,calls/second,milliseconds
1508096209,426401,43.388628,0.065365,0.017085,0.871652,0.042510,0.051012,0.073457,0.088148,0.182785,1.358102,173.090625,173.774595,173.768311,162.448191,calls/second,milliseconds
1508096239,431650,43.388628,0.053944,0.017085,0.616477,0.042510,0.051012,0.061214,0.088148,0.152321,1.131752,173.113726,174.420779,173.919676,162.870912,calls/second,milliseconds
1508096269,436861,43.388628,0.060735,0.017085,0.793497,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,173.118518,173.968393,173.865692,163.214857,calls/second,milliseconds
1508096299,442174,43.388628,0.059711,0.017085,0.791662,0.042510,0.051012,0.061214,0.088148,0.152321,1.358102,173.167554,175.031304,174.091657,163.639541,calls/second,milliseconds
1508096329,447358,43.388628,0.060909,0.017085,0.792992,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,173.163042,173.717262,173.917270,163.925206,calls/second,milliseconds
1508096359,452552,43.388628,0.061673,0.017085,0.823056,0.042510,0.051012,0.061214,0.088148,0.152321,1.358102,173.162942,173.331651,173.827430,164.223148,calls/second,milliseconds
1508096389,457491,43.388628,0.063248,0.017085,0.830397,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,173.066325,173.010133,173.737176,164.508842,calls/second,milliseconds
1508096419,461699,43.388628,0.061951,0.017085,0.825873,0.042510,0.051012,0.061214,0.088148,0.152321,1.358102,172.698009,159.108192,169.947756,163.485836,calls/second,milliseconds
1508096449,467498,43.388628,0.063170,0.017085,0.827764,0.042510,0.051012,0.073457,0.088148,0.152321,1.629722,172.926939,171.060398,171.767976,164.322392,calls/second,milliseconds
1508096479,473388,43.388628,0.061680,0.017085,0.795937,0.042510,0.051012,0.061214,0.088148,0.152321,1.629722,173.183684,181.811142,174.304084,165.440508,calls/second,milliseconds
