metric_join	timestamp	ts_join	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
iostat.sda.write_byte_per_second	1511273206	50375773	2131287.247	NULL	NULL	2627909.559	NULL	3701663.504	NULL	3924864.369	NULL	NULL
iostat.sda.write_byte_per_second	1511273236	50375774	3546999.116	NULL	NULL	3518246.835	NULL	1910394.801	NULL	2027328.187	NULL	NULL
iostat.sda.write_byte_per_second	1511273266	50375775	2313985.032	NULL	NULL	2646514.579	NULL	2535700.714	NULL	3014642.002	NULL	NULL
iostat.sda.write_byte_per_second	1511273296	50375776	3050970.302	NULL	NULL	3923000.862	NULL	3615131.755	NULL	2624889.608	NULL	NULL
iostat.sda.write_byte_per_second	1511273326	50375777	1273037.481	NULL	NULL	1936734.547	NULL	2472279.603	NULL	3612983.323	NULL	NULL
iostat.sda.write_byte_per_second	1511273356	50375778	5157515.421	NULL	NULL	2384166.447	NULL	2926448.552	NULL	2009254.580	NULL	NULL
iostat.sda.write_byte_per_second	1511273386	50375779	2621377.262	NULL	NULL	2969440.526	NULL	1794630.100	NULL	1606178.772	NULL	NULL
iostat.sda.write_byte_per_second	1511273416	50375780	3294932.105	NULL	NULL	1122934.023	NULL	1953736.015	NULL	3295232.340	NULL	NULL
iostat.sda.write_byte_per_second	1511273446	50375781	3885066.699	NULL	NULL	1884384.156	NULL	3589547.592	NULL	2763843.805	NULL	NULL
iostat.sda.write_byte_per_second	1511273476	50375782	1956981.836	NULL	NULL	4145383.192	NULL	1199147.129	NULL	1867847.152	NULL	NULL
iostat.sda.write_byte_per_second	1511273506	50375783	2049466.868	NULL	NULL	1612968.271	NULL	3050544.501	NULL	2795447.404	NULL	NULL
iostat.sda.write_byte_per_second	1511273536	50375784	1161680.393	NULL	NULL	3177447.697	NULL	3061895.925	NULL	2843960.794	NULL	NULL
iostat.sda.write_byte_per_second	1511273566	50375785	2983225.079	NULL	NULL	1465194.805	NULL	1803332.568	NULL	3276858.444	NULL	NULL
iostat.sda.write_byte_per_second	1511273596	50375786	774783.019	NULL	NULL	2807416.261	NULL	2867471.540	NULL	2817964.399	NULL	NULL
iostat.sda.write_byte_per_second	1511273626	50375787	1163391.917	NULL	NULL	2511039.806	NULL	2586482.019	NULL	2687552.203	NULL	NULL
iostat.sda.write_byte_per_second	1511273656	50375788	2434151.013	NULL	NULL	2979799.897	NULL	3278538.351	NULL	5818905.873	NULL	NULL
iostat.sda.write_byte_per_second	1511273686	50375789	3218860.290	NULL	NULL	2992806.482	NULL	4720956.700	NULL	2836796.465	NULL	NULL
iostat.sda.write_byte_per_second	1511273716	50375790	1610610.756	NULL	NULL	2959509.748	NULL	6825611.039	NULL	1291354.965	NULL	NULL
iostat.sda.write_byte_per_second	1511273746	50375791	2568390.035	NULL	NULL	7492810.537	NULL	2724124.598	NULL	3519564.273	NULL	NULL
iostat.sda.write_byte_per_second	1511273776	50375792	3978063.103	NULL	NULL	2957722.000	NULL	1758214.864	NULL	3090429.367	NULL	NULL
iostat.sda.write_byte_per_second	1511273806	50375793	10465035.717	NULL	NULL	3676197.115	NULL	3622500.932	NULL	1326015.980	NULL	NULL
iostat.sda.write_byte_per_second	1511273836	50375794	3034252.315	NULL	NULL	3179528.718	NULL	2772994.138	NULL	4016049.663	NULL	NULL
iostat.sda.write_byte_per_second	1511273866	50375795	4127294.359	NULL	NULL	1528491.541	NULL	1716181.610	NULL	3280713.976	NULL	NULL
iostat.sda.write_byte_per_second	1511273896	50375796	2858846.020	NULL	NULL	3900217.272	NULL	3747968.044	NULL	3722030.483	NULL	NULL
iostat.sda.write_byte_per_second	1511273926	50375797	1764873.819	NULL	NULL	2808646.629	NULL	2987994.338	NULL	1595239.341	NULL	NULL
iostat.sda.write_byte_per_second	1511273956	50375798	3569892.221	NULL	NULL	3621714.355	NULL	2862626.675	NULL	2922897.162	NULL	NULL
iostat.sda.write_byte_per_second	1511273986	50375799	2995641.111	NULL	NULL	1751037.829	NULL	2516157.077	NULL	4029871.140	NULL	NULL
iostat.sda.write_byte_per_second	1511274016	50375800	3984666.008	NULL	NULL	2933096.730	NULL	3128221.792	NULL	7604585.708	NULL	NULL
iostat.sda.write_byte_per_second	1511274046	50375801	1880970.463	NULL	NULL	4209868.532	NULL	3568572.669	NULL	6291895.402	NULL	NULL
iostat.sda.write_byte_per_second	1511274076	50375802	2694464.862	NULL	NULL	7368404.720	NULL	8077857.620	NULL	3627144.389	NULL	NULL
iostat.sda.write_byte_per_second	1511274106	50375803	3914884.323	NULL	NULL	5581988.801	NULL	5453266.252	NULL	3011246.687	NULL	NULL
iostat.sda.write_byte_per_second	1511274136	50375804	11758962.579	NULL	NULL	3988225.088	NULL	3970168.847	NULL	1511968.115	NULL	NULL
iostat.sda.write_byte_per_second	1511274166	50375805	4150909.543	NULL	NULL	2888146.941	NULL	2849462.212	NULL	4172712.772	NULL	NULL
iostat.sda.write_byte_per_second	1511274196	50375806	1833385.763	NULL	NULL	1818215.787	NULL	1633221.144	NULL	3176747.601	NULL	NULL
iostat.sda.write_byte_per_second	1511274226	50375807	2864442.959	NULL	NULL	4146056.321	NULL	4026959.144	NULL	4007531.355	NULL	NULL
iostat.sda.write_byte_per_second	1511274256	50375808	3812792.748	NULL	NULL	2568078.370	NULL	2830265.301	NULL	2663424.304	NULL	NULL
iostat.sda.write_byte_per_second	1511274286	50375809	2462062.371	NULL	NULL	3691440.147	NULL	3297485.397	NULL	1524856.468	NULL	NULL
iostat.sda.write_byte_per_second	1511274316	50375810	2207204.823	NULL	NULL	1693685.784	NULL	1926074.985	NULL	3960496.335	NULL	NULL
iostat.sda.write_byte_per_second	1511274346	50375811	3538248.756	NULL	NULL	2606697.963	NULL	2635420.859	NULL	7503690.471	NULL	NULL
iostat.sda.write_byte_per_second	1511274376	50375812	2730182.638	NULL	NULL	3666466.512	NULL	2247130.824	NULL	5724052.640	NULL	NULL
iostat.sda.write_byte_per_second	1511274406	50375813	1725883.391	NULL	NULL	2525982.870	NULL	5396353.430	NULL	3645302.627	NULL	NULL
iostat.sda.write_byte_per_second	1511274436	50375814	9241051.661	NULL	NULL	10077845.734	NULL	8725841.589	NULL	2477123.519	NULL	NULL
iostat.sda.write_byte_per_second	1511274466	50375815	5810107.091	NULL	NULL	1764248.768	NULL	1746627.847	NULL	1824768.667	NULL	NULL
iostat.sda.write_byte_per_second	1511274496	50375816	6668516.899	NULL	NULL	3505626.579	NULL	3391251.405	NULL	3459046.874	NULL	NULL
iostat.sda.write_byte_per_second	1511274526	50375817	8837593.470	NULL	NULL	2670184.183	NULL	2830875.232	NULL	3034461.629	NULL	NULL
